Victory,Pax,Mars,Jupiter,Securitas,Liberalitas,Salus,Pietas,Pudicitia,Concordia
0.01824353,0.036734694,-0.195924765,0.085106383,0.044247788,0.050761421,0.006880734,-0.017699115,0.033333333,0.098522167
0,-0.122047244,-0.107212476,0.12254902,0.025423729,0.028985507,0,-0.081081081,0.032258065,0.143497758
-0.08625,-0.035874439,0.026200873,0.054585153,0.024793388,-0.049295775,0.116173121,-0.107843137,-0.078125,0.050980392
-0.01003192,0.03255814,-0.040425532,0.055900621,0.056451613,-0.014814815,0.002040816,0.010989011,0,-0.048507463
-0.000460617,0.04954955,0.046563193,0.11372549,0.251908397,0.030075188,0.00407332,0.043478261,-0.186440678,-0.007843137
0.011981567,0.025751073,-0.016949153,-0.003521127,0,0.02919708,-0.101419878,-0.010416667,0,-0.003952569
-0.025956284,0.008368201,0.00862069,0.021201413,0.006097561,-0.007092199,-0.038374718,0.010526316,0,0.035714286
-0.009817672,-0.01659751,-0.05982906,-0.039792388,-0.018181818,0.078571429,-0.079812207,0.270833333,-0.145833333,-0.042145594
-0.018885741,-0.088607595,0.009090909,-0.057657658,-0.148148148,-0.006622517,-0.081632653,0.032786885,-0.12195122,-0.04
0.008662175,-0.101851852,0.058558559,-0.13001912,-0.297101449,-0.08,-0.105555556,-0.111111111,-0.138888889,-0.125
-0.023377863,0.015463918,0.036170213,-0.048351648,0.010309278,-0.072463768,-0.052795031,0.008928571,-0.032258065,0.00952381
0.006350757,0.172588832,0.065708419,0.034642032,0.102040816,-0.067708333,-0.026229508,0.044247788,-0.2,-0.066037736
-0.007281553,0.095238095,-0.015414258,0.006696429,-0.148148148,-0.072625698,0.023569024,-0.144067797,-0.041666667,0.025252525
0.021515892,-0.098814229,-0.001956947,-0.062084257,0.141304348,-0.06626506,-0.115131579,-0.04950495,0,-0.014778325
0.009573959,-0.039473684,-0.019607843,0.002364066,0.238095238,-0.035483871,-0.05204461,-0.020833333,-0.043478261,0.005
0.006164059,0.00913242,-0.062,-0.051886792,0.123076923,0.02006689,-0.047058824,-0.063829787,0,0.034825871
0.004712535,-0.004524887,-0.006396588,-0.037313433,0.205479452,-0.091803279,-0.041152263,0.147727273,-0.181818182,-0.004807692
0.004690432,-0.027272727,0.006437768,-0.043927649,-0.0625,-0.097472924,-0.004291845,0.059405941,0.222222222,0.014492754
-0.007002801,-0.03271028,-0.034115139,-0.086486486,-0.012121212,0.004,-0.129310345,0.065420561,0,0.128571429
-0.027738599,-0.101449275,-0.008830022,-0.115384615,0.030674847,0.047808765,-0.123762376,0.157894737,0.045454545,0.071729958
-0.018858801,-0.075268817,0.04454343,-0.006688963,-0.035714286,0.095057034,0.02259887,0.053030303,-0.173913043,0.098425197
