Year Before;Lead;
1950;pg/g;Missing values -0.999
2001,5;3,52;
2000,5;4,24;
1999,5;3,66;
1998,5;2,64;
1997,5;2,44;
1996,5;2,64;
1995,5;2,76;
1994,5;2,12;
1993,5;2,74;
1992,5;2,7;
1991,5;3,59;
1990,5;3,25;
1989,5;3,18;
1988,5;3,07;
1987,5;1,71;
1986,5;2,02;
1985,5;2,65;
1984,5;1,93;
1983,5;1,81;
1982,5;2,09;
1981,5;2,43;
1980,5;2,98;
1979,5;1,96;
1978,5;2,11;
1977,5;2,12;
1976,5;3,8;
1975,5;1,92;
1974,5;2,67;
1973,5;2,54;
1972,5;1,88;
1971,5;2,2;
1970,5;2,57;
1969,5;1,37;
1968,5;1,84;
1967,5;1,12;
1966,5;2,52;
1965,5;1,78;
1964,5;1,75;
1963,5;1,96;
1962,5;1,84;
1961,5;3,29;
1960,5;3,15;
1959,5;3,66;
1958,5;2,27;
1957,5;3,05;
1956,5;3,81;
1955,5;8,79;
1954,5;2,58;
1953,5;2,85;
1952,5;3,31;
1951,5;3,06;
1950,5;3,78;
1949,5;3,86;
1948,5;4,27;
1947,5;1,72;
1946,5;3,99;
1945,5;4,21;
1944,5;2,97;
1943,5;6,59;
1942,5;2,99;
1941,5;3,73;
1940,5;3,11;
1939,5;4,19;
1938,5;4,16;
1937,5;3,35;
1936,5;3,48;
1935,5;3,53;
1934,5;2,81;
1933,5;4,24;
1932,5;2,49;
1931,5;4,77;
1930,5;2,09;
1929,5;2,82;
1928,5;2,63;
1927,5;2,41;
1926,5;4,42;
1925,5;3,45;
1924,5;3,18;
1923,5;3,02;
1922,5;4,6;
1921,5;7,86;
1920,5;3,44;
1919,5;2,3;
1918,5;2,78;
1917,5;3,55;
1916,5;-0,999;
1915,5;-0,999;
1914,5;4,24;
1913,5;3,88;
1912,5;3,69;
1911,5;4,06;
1910,5;4,07;
1909,5;7,62;
1908,5;4,21;
1907,5;2,13;
1906,5;3,16;
1905,5;5,76;
1904,5;3,9;
1903,5;4,39;
1902,5;4,9;
1901,5;2,33;
1900,5;4,01;
1899,5;2,49;
1898,5;2,81;
1897,5;2,78;
1896,5;1,73;
1895,5;1,58;
1894,5;-0,999;
1893,5;2,67;
1892,5;2,79;
1891,5;3,52;
1890,5;5,29;
1889,5;2,52;
1888,5;4,69;
1887,5;6,3;
1886,5;4,07;
1885,5;3,08;
1884,5;8,94;
1883,5;4,56;
1882,5;2,82;
1881,5;3,6;
1880,5;1,97;
1879,5;2,55;
1878,5;2,72;
1877,5;2,7;
1876,5;3,39;
1875,5;3,46;
1874,5;3,17;
1873,5;3,12;
1872,5;4,66;
1871,5;2,48;
1870,5;2,95;
1869,5;2,94;
1868,5;1,72;
1867,5;2,05;
1866,5;3,35;
1865,5;2,36;
1864,5;3,03;
1863,5;4,49;
1862,5;2,46;
1861,5;1,97;
1860,5;4,16;
1859,5;3,81;
1858,5;2,22;
1857,5;3,22;
1856,5;7,6;
1855,5;2,06;
1854,5;1,6;
1853,5;0,76;
1852,5;1,7;
1851,5;6,17;
1850,5;4,43;
1849,5;4,07;
1848,5;3;
1847,5;4,77;
1846,5;2,21;
1845,5;5,58;
1844,5;3,86;
1843,5;3,38;
1842,5;2,29;
1841,5;10,03;
1840,5;2,85;
1839,5;4,81;
1838,5;2,98;
1837,5;2,36;
1836,5;2,24;
1835,5;1,9;
1834,5;1,97;
1833,5;2,68;
1832,5;10,1;
1831,5;2,03;
1830,5;1,41;
1829,5;2,67;
1828,5;9,19;
1827,5;3,63;
1826,5;3,82;
1825,5;7,09;
1824,5;4,81;
1823,5;3,11;
1822,5;2,55;
1821,5;3,02;
1820,5;1,66;
1819,5;2,25;
1818,5;3,83;
1817,5;3,41;
1816,5;3,96;
1815,5;3,41;
1814,5;5,59;
1813,5;5,15;
1812,5;3,58;
1811,5;1,92;
1810,5;2,3;
1809,5;2,95;
1808,5;2,86;
1807,5;3,87;
1806,5;2,75;
1805,5;5,52;
1804,5;3,17;
1803,5;2,02;
1802,5;2,61;
1801,5;2,42;
1800,5;3,55;
